frame_id,track_id,class_id,x1,y1,x2,y2
34,4,0,275,230,305,290
34,5,32,410,340,425,355
35,1,0,194,122,224,182
35,2,0,392,364,422,424
35,3,0,336,280,366,340
35,4,0,280,228,310,288
35,5,32,416,344,431,359
36,1,0,198,124,228,184
36,2,0,389,363,419,423
36,3,0,337,285,367,345
36,4,0,285,226,315,286
36,5,32,422,348,437,363
37,1,0,202,126,232,186
37,2,0,386,362,416,422
37,3,0,338,290,368,350
37,4,0,290,224,320,284
37,5,32,428,352,443,367
38,1,0,206,128,236,188
38,2,0,383,361,413,421
38,3,0,339,295,369,355
38,4,0,295,222,325,282
38,5,32,434,356,449,371
39,1,0,210,130,240,190
39,2,0,380,360,410,420
39,3,0,340,300,370,360
39,4,0,300,220,330,280
39,5,32,440,360,455,375
40,1,0,214,132,244,192
40,2,0,377,359,407,419
40,3,0,341,305,371,365
40,4,0,305,218,335,278
40,5,32,446,364,461,379
41,1,0,218,134,248,194
41,2,0,374,358,404,418
41,3,0,342,310,372,370
41,4,0,310,216,340,276
41,5,32,452,368,467,383
42,1,0,222,136,252,196
42,2,0,371,357,401,417
42,3,0,343,315,373,375
42,4,0,315,214,345,274
42,5,32,458,372,473,387
43,1,0,226,138,256,198
43,2,0,368,356,398,416
43,3,0,344,320,374,380
43,4,0,320,212,350,272
43,5,32,464,376,479,391
44,1,0,230,140,260,200
44,2,0,365,355,395,415
44,3,0,345,325,375,385
44,4,0,325,210,355,270
44,5,32,470,380,485,395
45,1,0,234,142,264,202
45,2,0,362,354,392,414
45,3,0,346,330,376,390
45,4,0,330,208,360,268
45,5,32,476,384,491,399
46,1,0,238,144,268,204
46,2,0,359,353,389,413
46,3,0,347,335,377,395
46,4,0,335,206,365,266
46,5,32,482,388,497,403
47,1,0,242,146,272,206
47,2,0,356,352,386,412
47,3,0,348,340,378,400
47,4,0,340,204,370,264
47,5,32,488,392,503,407
48,1,0,246,148,276,208
48,2,0,353,351,383,411
48,3,0,349,345,379,405
48,4,0,345,202,375,262
48,5,32,494,396,509,411
49,1,0,250,150,280,210
49,2,0,350,350,380,410
49,3,0,350,350,380,410
49,4,0,350,200,380,260
49,5,32,500,400,515,415
50,1,0,254,152,284,212
50,2,0,347,349,377,409
50,3,0,351,355,381,415
50,4,0,355,198,385,258
50,5,32,506,404,521,419
51,1,0,258,154,288,214
51,2,0,344,348,374,408
51,3,0,352,360,382,420
51,4,0,360,196,390,256
51,5,32,512,408,527,423
52,1,0,262,156,292,216
52,2,0,341,347,371,407
52,3,0,353,365,383,425
52,4,0,365,194,395,254
52,5,32,518,412,533,427
53,1,0,266,158,296,218
53,2,0,338,346,368,406
53,3,0,354,370,384,430
53,4,0,370,192,400,252
53,5,32,524,416,539,431
54,1,0,270,160,300,220
54,2,0,335,345,365,405
54,3,0,355,375,385,435
54,4,0,375,190,405,250
54,5,32,530,420,545,435
55,1,0,274,162,304,222
55,2,0,332,344,362,404
55,3,0,356,380,386,440
55,4,0,380,188,410,248
55,5,32,536,424,551,439
56,1,0,278,164,308,224
56,2,0,329,343,359,403
56,3,0,357,385,387,445
56,4,0,385,186,415,246
56,5,32,542,428,557,443
57,1,0,282,166,312,226
57,2,0,326,342,356,402
57,3,0,358,390,388,450
57,4,0,390,184,420,244
57,5,32,548,432,563,447
58,1,0,286,168,316,228
58,2,0,323,341,353,401
58,3,0,359,395,389,455
58,4,0,395,182,425,242
58,5,32,554,436,569,451
59,1,0,290,170,320,230
59,2,0,320,340,350,400
59,3,0,360,400,390,460
59,4,0,400,180,430,240
59,5,32,560,440,575,455
60,1,0,294,172,324,232
60,2,0,317,339,347,399
60,3,0,361,405,391,465
60,4,0,405,178,435,238
60,5,32,566,444,581,459
61,1,0,298,174,328,234
61,2,0,314,338,344,398
61,3,0,362,410,392,470
61,4,0,410,176,440,236
61,5,32,572,448,587,463
62,1,0,302,176,332,236
62,2,0,311,337,341,397
62,3,0,363,415,393,475
62,4,0,415,174,445,234
62,5,32,578,452,593,467
63,1,0,306,178,336,238
63,2,0,308,336,338,396
63,3,0,364,420,394,480
63,4,0,420,172,450,232
63,5,32,584,456,599,471
64,1,0,310,180,340,240
64,2,0,305,335,335,395
64,3,0,365,420,395,480
64,4,0,425,170,455,230
64,5,32,590,460,605,475
65,1,0,314,182,344,242
65,2,0,302,334,332,394
65,3,0,366,415,396,475
65,4,0,430,168,460,228
65,5,32,596,464,611,479
66,1,0,318,184,348,244
66,2,0,299,333,329,393
66,3,0,367,410,397,470
66,4,0,435,166,465,226
66,5,32,602,465,617,480
67,1,0,322,186,352,246
67,2,0,296,332,326,392
67,3,0,368,405,398,465
67,4,0,440,164,470,224
67,5,32,608,461,623,476
68,1,0,326,188,356,248
68,2,0,293,331,323,391
68,3,0,369,400,399,460
68,4,0,445,162,475,222
68,5,32,614,457,629,472
69,1,0,330,190,360,250
69,2,0,290,330,320,390
69,3,0,370,395,400,455
69,4,0,450,160,480,220
69,5,32,620,453,635,468
70,1,0,334,192,364,252
70,2,0,287,329,317,389
70,3,0,371,390,401,450
70,4,0,455,158,485,218
70,5,32,625,449,640,464
71,1,0,338,194,368,254
71,2,0,284,328,314,388
71,3,0,372,385,402,445
71,4,0,460,156,490,216
71,5,32,619,445,634,460
72,1,0,342,196,372,256
72,2,0,281,327,311,387
72,3,0,373,380,403,440
72,4,0,465,154,495,214
72,5,32,613,441,628,456
73,1,0,346,198,376,258
73,2,0,278,326,308,386
73,3,0,374,375,404,435
73,4,0,470,152,500,212
73,5,32,607,437,622,452
74,1,0,350,200,380,260
74,2,0,275,325,305,385
74,3,0,375,370,405,430
74,4,0,475,150,505,210
74,5,32,601,433,616,448
75,1,0,354,202,384,262
75,2,0,272,324,302,384
75,3,0,376,365,406,425
75,4,0,480,148,510,208
75,5,32,595,429,610,444
76,1,0,358,204,388,264
76,2,0,269,323,299,383
76,3,0,377,360,407,420
76,4,0,485,146,515,206
76,5,32,589,425,604,440
77,1,0,362,206,392,266
77,2,0,266,322,296,382
77,3,0,378,355,408,415
77,4,0,490,144,520,204
77,5,32,583,421,598,436
78,1,0,366,208,396,268
78,2,0,263,321,293,381
78,3,0,379,350,409,410
78,4,0,495,142,525,202
78,5,32,577,417,592,432
79,1,0,370,210,400,270
79,2,0,260,320,290,380
79,3,0,380,345,410,405
79,4,0,500,140,530,200
79,5,32,571,413,586,428
80,1,0,374,212,404,272
80,2,0,257,319,287,379
80,3,0,381,340,411,400
80,4,0,505,138,535,198
80,5,32,565,409,580,424
81,1,0,378,214,408,274
81,2,0,254,318,284,378
81,3,0,382,335,412,395
81,4,0,510,136,540,196
81,5,32,559,405,574,420
82,1,0,382,216,412,276
82,2,0,251,317,281,377
82,3,0,383,330,413,390
82,4,0,515,134,545,194
82,5,32,553,401,568,416
83,1,0,386,218,416,278
83,2,0,248,316,278,376
83,3,0,384,325,414,385
83,4,0,520,132,550,192
83,5,32,547,397,562,412
84,1,0,390,220,420,280
84,2,0,245,315,275,375
84,3,0,385,320,415,380
84,4,0,525,130,555,190
84,5,32,541,393,556,408
85,1,0,394,222,424,282
85,2,0,242,314,272,374
85,3,0,386,315,416,375
85,4,0,530,128,560,188
85,5,32,535,389,550,404
86,1,0,398,224,428,284
86,2,0,239,313,269,373
86,3,0,387,310,417,370
86,4,0,535,126,565,186
86,5,32,529,385,544,400
87,1,0,402,226,432,286
87,2,0,236,312,266,372
87,3,0,388,305,418,365
87,4,0,540,124,570,184
87,5,32,523,381,538,396
88,1,0,406,228,436,288
88,2,0,233,311,263,371
88,3,0,389,300,419,360
88,4,0,545,122,575,182
88,5,32,517,377,532,392
89,1,0,410,230,440,290
89,2,0,230,310,260,370
89,3,0,390,295,420,355
89,4,0,550,120,580,180
89,5,32,511,373,526,388
90,1,0,414,232,444,292
90,2,0,227,309,257,369
90,3,0,391,290,421,350
90,4,0,555,118,585,178
90,5,32,505,369,520,384
91,1,0,418,234,448,294
91,2,0,224,308,254,368
91,3,0,392,285,422,345
91,4,0,560,116,590,176
91,5,32,499,365,514,380
92,1,0,422,236,452,296
92,2,0,221,307,251,367
92,3,0,393,280,423,340
92,4,0,565,114,595,174
92,5,32,493,361,508,376
93,1,0,426,238,456,298
93,2,0,218,306,248,366
93,3,0,394,275,424,335
93,4,0,570,112,600,172
93,5,32,487,357,502,372
94,1,0,430,240,460,300
94,2,0,215,305,245,365
94,3,0,395,270,425,330
94,4,0,575,110,605,170
94,5,32,481,353,496,368
95,1,0,434,242,464,302
95,2,0,212,304,242,364
95,3,0,396,265,426,325
95,4,0,580,108,610,168
95,5,32,475,349,490,364
96,1,0,438,244,468,304
96,2,0,209,303,239,363
96,3,0,397,260,427,320
96,4,0,585,106,615,166
96,5,32,469,345,484,360
97,1,0,442,246,472,306
97,2,0,206,302,236,362
97,3,0,398,255,428,315
97,4,0,590,104,620,164
97,5,32,463,341,478,356
98,1,0,446,248,476,308
98,2,0,203,301,233,361
98,3,0,399,250,429,310
98,4,0,595,102,625,162
98,5,32,457,337,472,352
99,1,0,450,250,480,310
99,2,0,200,300,230,360
99,3,0,400,245,430,305
99,4,0,600,100,630,160
99,5,32,451,333,466,348
